brand_name,ratings,discount_pct,popularity_score
Crimsoune Club,3.96,0.5239428571428572,13.34764619886672
Crocodile,3.8833333333333333,0.31666666666666665,11.299822179801065
DAGERRFLY,4.279999999999999,0.19,12.75409089968406
DAKWINS,4.123809523809523,18.0,15.727458312667201
DENIMLOOK,3.776543209876543,19.685185185185187,13.843445941704092
DENNISON,3.776744186046512,0.6397674418604652,13.403696090988255
DILLINGER,3.9499999999999997,0.7316666666666666,12.838369162039696
DRAGAON,4.2,28.45,20.475828757444837
DRAGON HILL,4.05,0.49,13.245716745455171
Dais,3.7,7.261,12.749506075796935
DeFacto,4.04054054054054,0.48918918918918924,14.049298714721225
Dennis Lingo,3.8925619834710745,6.196611570247933,14.980259414827591
Difference of Opinion,4.35,0.06,8.84134621986232
Double Two,4.068181818181818,0.3,13.482268037301255
